Player,Team,Pos,Injury,Status,Est. Return
Joe Musgrove,SD,P,Elbow,60-Day IL,Subscribers Only
Simon Muzziotti,PHI,OF,Undisclosed,7-Day IL,Subscribers Only
Tanner Myatt,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Edgar Navarro,CWS,P,Elbow,60-Day IL,Subscribers Only
Kyle Nelson,ARI,P,Shoulder,60-Day IL,Subscribers Only
Yohemy Nolasco,CWS,P,Undisclosed,60-Day IL,Subscribers Only
Liam Norris,ARI,P,Undisclosed,7-Day IL,Subscribers Only
Juan Nunez,BAL,P,Undisclosed,7-Day IL,Subscribers Only
Riley O'Brien,STL,P,Forearm,60-Day IL,Subscribers Only
Rougned Odor,NYY,2B,Undisclosed,7-Day IL,Subscribers Only
Oliver Ortega,HOU,P,Elbow,60-Day IL,Subscribers Only
Luis Ortiz,PHI,P,Forearm,60-Day IL,Subscribers Only
Joey Ortiz,MIL,2B,Neck,10-Day IL,Subscribers Only
Bryce Osmond,LAA,P,Undisclosed,60-Day IL,Subscribers Only
Glenn Otto,SD,P,Shoulder,15-Day IL,Subscribers Only
Connor Overton,CIN,P,Elbow,7-Day IL,Subscribers Only
Johan Oviedo,PIT,P,Elbow,60-Day IL,Subscribers Only
Izaac Pacheco,DET,3B,Hand,Out,Subscribers Only
Freddy Pacheco,DET,P,Elbow,7-Day IL,Subscribers Only
Nicholas Padilla,CWS,P,Undisclosed,60-Day IL,Subscribers Only
Emilio Pagan,CIN,P,Lat,60-Day IL,Subscribers Only
Andrew Painter,PHI,P,Elbow,60-Day IL,Subscribers Only
Wen Hui Pan,PHI,P,Finger,60-Day IL,Subscribers Only
Enoli Paredes,MIL,P,Forearm,15-Day IL,Subscribers Only
Luis Patino,SD,P,Elbow,60-Day IL,Subscribers Only
Zach Peek,BAL,P,Shoulder,60-Day IL,Subscribers Only
Zach Penrod,BOS,P,Lower Leg,7-Day IL,Subscribers Only
Luis Perales,BOS,P,Elbow,7-Day IL,Subscribers Only
Wandy Peralta,SD,P,Groin,Day-To-Day,Subscribers Only
Angel Perdomo,ATL,P,Elbow,60-Day IL,Subscribers Only
Jose Perdomo,ATL,SS,Undisclosed,60-Day IL,Subscribers Only
Everson Pereira,NYY,OF,Elbow,60-Day IL,Subscribers Only
Hedbert Perez,MIL,OF,Undisclosed,60-Day IL,Subscribers Only
Eury Perez,MIA,P,Elbow,60-Day IL,Subscribers Only
Jose Peroza,NYM,3B,Undisclosed,7-Day IL,Subscribers Only
Cole Phillips,SEA,P,Elbow,60-Day IL,Subscribers Only
Chase Pinder,SF,OF,Undisclosed,60-Day IL,Subscribers Only
Adrian Pinto,TOR,2B,Ribs,7-Day IL,Subscribers Only
Jean Pinto,BAL,P,Elbow,60-Day IL,Subscribers Only
Cody Poteet,NYY,P,Triceps,15-Day IL,Subscribers Only
Connor Prielipp,MIN,P,Elbow,60-Day IL,Subscribers Only
Austin Pruitt,TEX,P,Knee,60-Day IL,Subscribers Only
Jeferson Quero,MIL,C,Shoulder,60-Day IL,Subscribers Only
Jose Quijada,LAA,P,Elbow,60-Day IL,Subscribers Only
Brooks Raley,NYM,P,Elbow,60-Day IL,Subscribers Only
Aldo Ramirez,WSH,P,Elbow,7-Day IL,Subscribers Only
Lane Ramsey,CWS,P,Undisclosed,7-Day IL,Subscribers Only
Alan Rangel,LAA,P,Undisclosed,7-Day IL,Subscribers Only
Drew Rasmussen,TB,P,Elbow,60-Day IL,Subscribers Only
Robbie Ray,SF,P,Elbow,60-Day IL,Subscribers Only
